"","Year","LifeExpectancy","Alcohol","TotalExpenditure","HepatitisB","Measles","Polio","BMI","HIV/AIDS","GDP","Schooling","HDI_Income"
"1",2015,65,0.01,65,1154,19.1,6,8.16,0.1,584.25921,0.479,10.1
"2",2014,59.9,0.01,62,492,18.6,58,8.18,0.1,612.696514,0.476,10
"3",2013,59.9,0.01,64,430,18.1,62,8.13,0.1,631.744976,0.47,9.9
"4",2012,59.5,0.01,67,2787,17.6,67,8.52,0.1,669.959,0.463,9.8
"5",2011,59.2,0.01,68,3013,17.2,68,7.87,0.1,63.537231,0.454,9.5
"6",2010,58.8,0.01,66,1989,16.7,66,9.2,0.1,553.32894,0.448,9.2
"7",2009,58.6,0.01,63,2861,16.2,63,9.42,0.1,445.8932979,0.434,8.9
"8",2008,58.1,0.03,64,1599,15.7,64,8.33,0.1,373.3611163,0.433,8.7
"9",2007,57.5,0.02,63,1141,15.2,63,6.73,0.1,369.835796,0.415,8.4
"10",2006,57.3,0.03,64,1990,14.7,58,7.43,0.1,272.56377,0.405,8.1
"11",2005,57.3,0.02,66,1296,14.2,58,8.7,0.1,25.2941299,0.396,7.9
"12",2004,57,0.02,67,466,13.8,5,8.79,0.1,219.1413528,0.381,6.8
"13",2003,56.7,0.01,65,798,13.4,41,8.82,0.1,198.7285436,0.373,6.5
"14",2002,56.2,0.01,64,2486,13,36,7.76,0.1,187.84595,0.341,6.2
"15",2001,55.3,0.01,63,8762,12.6,35,7.8,0.1,117.49698,0.34,5.9
"16",2000,54.8,0.01,62,6532,12.2,24,8.2,0.1,114.56,0.338,5.5
"17",2015,77.8,4.6,99,0,58,99,6,0.1,3954.22783,0.762,14.2
"18",2014,77.5,4.51,98,0,57.2,98,5.88,0.1,4575.763787,0.761,14.2
"19",2013,77.2,4.76,99,0,56.5,99,5.66,0.1,4414.72314,0.759,14.2
"20",2012,76.9,5.14,99,9,55.8,99,5.59,0.1,4247.61438,0.752,14.2
"21",2011,76.6,5.37,99,28,55.1,99,5.71,0.1,4437.17868,0.738,13.3
"22",2010,76.2,5.28,99,10,54.3,99,5.34,0.1,494.358832,0.725,12.5
"23",2009,76.1,5.79,98,0,53.5,98,5.79,0.1,4114.136545,0.721,12.2
"24",2008,75.3,5.61,99,0,52.6,99,5.87,0.1,437.539647,0.713,12
"25",2007,75.9,5.58,98,22,51.7,99,6.1,0.1,363.13685,0.703,11.6
"26",2006,74.2,5.31,98,68,5.8,97,5.86,0.1,35.1293,0.696,11.4
"27",2005,73.5,5.16,98,6,49.9,97,6.12,0.1,279.142931,0.685,10.8
"28",2004,73,4.54,99,7,48.9,98,6.38,0.1,2416.588235,0.681,10.9
